PPG,HR,RR,HRV,SpO2
11960.3741,76,17,51,93.9
11961.0041,0,0,0,0
11963.2896,0,0,0,0
11966.9075,0,0,0,0
11971.5288,0,0,0,0
11976.8291,0,0,0,0
11982.5004,0,0,0,0
11988.2608,0,0,0,0
11993.8627,0,0,0,0
11999.1008,0,0,0,0
12003.8165,0,0,0,0
12007.902,0,0,0,0
12011.3018,0,0,0,0
12014.0116,0,0,0,0
12016.0769,0,0,0,0
12017.5881,0,0,0,0
12018.6754,0,0,0,0
12019.5013,0,0,0,0
12020.2531,0,0,0,0
12021.1339,0,0,0,0
12022.3533,0,0,0,0
12024.1183,0,0,0,0
12026.6244,0,0,0,0
12030.047,0,0,0,0
12034.534,0,0,0,0
12040.1993,0,0,0,0
12047.1177,0,0,0,0
12055.3216,0,0,0,0
12064.7984,0,0,0,0
12075.4908,0,0,0,0
12087.2977,0,0,0,0
12100.0771,0,0,0,0
12113.6505,0,0,0,0
12127.8085,0,0,0,0
12142.3172,0,0,0,0
12156.926,0,0,0,0
12171.3753,0,0,0,0
12185.4051,0,0,0,0
12198.7631,0,0,0,0
12211.2126,0,0,0,0
12222.5401,0,0,0,0
12232.5617,0,0,0,0
12241.1286,0,0,0,0
12248.1316,0,0,0,0
12253.5039,0,0,0,0
12257.2228,0,0,0,0
12259.3097,0,0,0,0
12259.8288,0,0,0,0
12258.8842,0,0,0,0
12256.616,0,0,0,0
12253.1955,0,0,0,0
12248.8185,0,0,0,0
12243.6992,0,0,0,0
12238.0626,0,0,0,0
12232.1371,0,0,0,0
12226.1473,0,0,0,0
12220.3067,0,0,0,0
12214.8111,0,0,0,0
12209.8326,0,0,0,0
12205.515,0,0,0,0
12201.9694,0,0,0,0
12199.272,0,0,0,0
12197.4618,0,0,0,0
12196.5412,0,0,0,0
12196.4764,0,0,0,0
12197.1999,0,0,0,0
12198.6136,0,0,0,0
12200.5929,0,0,0,0
12202.992,0,0,0,0
12205.6494,0,0,0,0
12208.3935,0,0,0,0
12211.0495,0,0,0,0
12213.4449,0,0,0,0
12215.4155,0,0,0,0
12216.8111,0,0,0,0
12217.5003,0,0,0,0
12217.3744,0,0,0,0
12216.3504,0,0,0,0
12214.3738,0,0,0,0
12211.4194,0,0,0,0
12207.4914,0,0,0,0
12202.6228,0,0,0,0
12196.8734,0,0,0,0
12190.3271,0,0,0,0
12183.0889,0,0,0,0
12175.2802,0,0,0,0
12167.0349,0,0,0,0
12158.4946,0,0,0,0
12149.8034,0,0,0,0
12141.1037,0,0,0,0
12132.5315,0,0,0,0
12124.2123,0,0,0,0
12116.2575,0,0,0,0
12108.762,0,0,0,0
12101.8014,0,0,0,0
12095.4315,0,0,0,0
12089.6871,0,0,0,0
