32766,4773,1569,113,73
32766,4759,1539,89,95
32766,4755,1542,93,56
32766,4783,1537,51,72
32766,4759,1548,92,64
32766,4767,1536,86,53
32766,4766,1570,60,65
32766,4778,1543,70,64
32766,4777,1546,67,93
32766,4787,1567,83,68
32766,4794,1553,70,61
32766,4811,1560,78,65
32766,4806,1557,69,83
32766,4792,1575,100,50
32766,4788,1570,94,43
32766,4804,1600,85,66
32766,4814,1566,74,50
32766,4828,1580,60,80
32766,4827,1577,56,87
32766,4859,1570,72,70
32766,4827,1573,71,78
32766,4850,1576,72,72
32766,4842,1571,45,69
32766,4830,1587,84,66
32766,4861,1574,67,80
32766,4844,1562,78,74
32766,4848,1580,70,85
32766,4859,1592,77,78
32766,4849,1579,82,85
32766,4866,1569,72,85
32766,4864,1578,90,58
32766,4868,1576,57,97
32766,4869,1593,60,85
32766,4873,1570,56,73
32766,4859,1570,80,58
32766,4860,1586,98,69
32766,4862,1607,77,58
32766,4876,1588,55,98
32766,4850,1595,84,61
32766,4863,1600,72,87
32766,4863,1584,77,79
32766,4873,1584,66,75
32766,4865,1575,59,100
32766,4874,1602,102,42
32766,4860,1553,128,72
32766,4851,1602,109,74
32766,4871,1600,65,54
32766,4877,1607,84,87
32766,4896,1580,80,72
32766,4874,1609,89,30
32766,4891,1592,66,95
32766,4878,1611,76,48
32766,4875,1589,81,66
32766,4885,1585,78,80
32766,4894,1586,80,54
32766,4892,1589,89,56
32766,4892,1604,73,83
32766,4906,1597,80,71
32766,4882,1596,72,68
32766,4912,1619,85,92
32766,4903,1581,47,82
32766,4893,1598,80,66
32766,4898,1609,30,63
32766,4913,1596,36,76
32766,4901,1589,60,67
32766,4926,1608,73,64
32766,4902,1597,71,82
32766,4903,1598,82,64
32766,4913,1606,74,74
32766,4911,1599,79,67
32766,4913,1612,47,75
32766,4921,1605,69,59
32766,4888,1610,55,61
32766,4908,1604,142,51
32766,4922,1593,61,114
32766,4916,1616,93,53
32766,4919,1599,73,55
32766,4919,1616,42,135
32766,4943,1615,50,46
32766,4920,1612,71,74
32766,4928,1605,69,74
32766,4922,1598,73,72
32766,4926,1615,53,54
32766,4911,1599,97,73
32766,4925,1606,64,63
32766,4914,1595,81,80
32766,4916,1610,88,72
32766,4890,1617,86,72
32766,4934,1621,79,98
32766,4964,1591,88,61
32766,4928,1622,81,85
32766,4941,1624,80,76
32766,4926,1646,116,93
32766,4934,1618,72,76
32766,4922,1616,68,72
32766,4941,1617,87,77
32766,4955,1618,71,72
32766,4942,1616,91,51
32766,4938,1613,70,89
32766,4956,1597,79,68
32766,4958,1610,94,43
32766,4965,1623,74,81
32766,4967,1607,84,77
32766,4976,1630,52,107
32766,4979,1599,77,57
32766,4963,1626,97,46
32766,4989,1618,90,48
32766,4971,1631,132,53
32766,4966,1632,55,58
32766,4970,1610,93,53
32766,4974,1631,54,88
32766,4979,1630,91,56
32766,4978,1626,88,67
32766,4966,1626,92,52
32766,4975,1623,77,72
32766,4993,1623,68,82
32766,4959,1619,67,73
32766,4975,1627,93,67
32766,4969,1638,49,82
32766,4960,1621,54,83
32766,4946,1617,65,72
32766,4969,1624,58,69
32766,4953,1626,68,68
32766,4963,1623,89,66
32766,4979,1603,70,58
32766,4976,1645,70,76
32766,4986,1608,73,73
32766,4975,1620,85,63
32766,4979,1628,94,65
32766,4969,1618,74,74
32766,4981,1626,74,68
32766,4974,1615,74,65
32766,4990,1625,74,57
32766,4970,1661,87,68
32766,4973,1642,97,63
32766,4978,1597,94,31
32766,4975,1617,73,66
32766,4963,1633,69,78
32766,4972,1637,57,71
32766,4976,1640,92,51
32766,4972,1624,72,79
32766,4968,1618,69,86
32766,4971,1619,62,80
32766,4973,1615,78,55
32766,4961,1635,90,58
32766,4971,1619,78,54
32766,4982,1619,92,52
32766,4970,1635,90,61
32766,4960,1632,52,100
32766,4978,1628,57,58
32766,4955,1626,68,67
32766,4965,1627,66,83
32766,4975,1626,97,44
32766,4943,1632,99,50
32766,4981,1619,66,72
32766,4983,1620,62,59
32766,4979,1621,75,66
32766,4994,1627,75,52
32766,4981,1618,64,91
32766,4967,1621,63,70
32766,4959,1629,57,61
32766,4971,1610,69,67
32766,4969,1631,110,53
32766,4969,1645,66,77
32766,4974,1637,36,69
32766,4968,1640,72,72
32766,4971,1636,71,81
32766,4945,1642,91,85
32766,4961,1642,103,73
32766,4954,1653,73,65
32766,4970,1617,71,62
32766,4969,1617,75,68
32766,4962,1621,92,47
32766,4979,1615,64,71
32766,4970,1636,66,63
32766,4974,1627,65,88
32766,4977,1617,52,61
32766,4986,1618,65,75
32766,4977,1628,54,76
