32766,3360,877,44,41,
32766,3359,867,70,48,
32766,3362,877,49,58,
32766,3344,876,47,44,
32766,3348,873,57,52,
32766,3366,876,50,64,
32766,3351,862,64,60,
32766,3356,873,61,41,
32766,3352,867,50,60,
32766,3359,860,54,54,
32766,3355,870,39,55,
32766,3346,875,57,45,
32766,3355,867,69,59,
32766,3363,865,56,56,
32766,3365,863,57,43,
32766,3361,859,66,62,
32766,3345,848,77,53,
32766,3349,856,70,52,
32766,3351,872,47,55,
32766,3333,868,66,40,
32766,3347,863,64,53,
32766,3354,865,52,48,
32766,3361,870,68,35,
32766,3360,877,66,67,
32766,3351,861,69,50,
32766,3344,861,58,55,
32766,3357,859,35,42,
32766,3341,861,66,39,
32766,3341,861,66,39,
127,13,3,0,0,
32766,3343,859,65,59,
32766,3346,863,50,55,
32766,3360,870,57,51,
32766,3349,859,53,47,
32766,3347,862,62,56,
32766,3340,865,55,79,
32766,3354,870,66,53,
32766,3361,868,61,53,
32766,3363,849,71,49,
32766,3345,870,40,37,
32766,3357,860,62,46,
32766,3357,864,70,35,
32766,3356,862,67,58,
32766,3343,864,71,51,
32766,3357,854,51,53,
32766,3357,854,51,53,
127,13,3,0,0,
32766,3360,865,53,57,
32766,3360,858,50,59,
32766,3364,853,38,48,
32766,3358,866,71,45,
32766,3372,872,50,34,
32766,3363,869,65,58,
32766,3364,859,61,60,
32766,3348,869,55,42,
32766,3350,869,42,51,
32766,3358,865,52,46,
32766,3341,852,48,40,
32766,3361,858,55,69,
32766,3358,866,52,66,
32766,3358,866,52,66,
127,13,3,0,0,
32766,3341,879,67,59,
32766,3357,850,55,37,
32766,3377,867,66,48,
32766,3353,862,66,48,
32766,3345,876,84,40,
32766,3356,857,32,48,
32766,3344,856,48,50,
32766,3345,863,55,60,
32766,3346,862,65,35,
32766,3350,856,53,55,
32766,3345,877,64,64,
32766,3336,868,76,45,
32766,3342,856,57,39,
32766,3349,854,58,49,
32766,3350,855,62,64,
32766,3341,873,58,46,
32766,3366,856,48,53,
32766,3364,852,59,51,
32766,3364,852,59,51,
127,13,3,0,0,
32766,3349,867,58,65,
32766,3358,850,61,40,
32766,3373,855,76,46,
32766,3354,858,42,63,
32766,3359,855,59,40,
32766,3365,864,72,52,
32766,3356,853,60,59,
32766,3380,863,56,62,
32766,3371,864,58,46,
32766,3373,862,51,41,
32766,3373,862,51,41,
127,13,3,0,0,
32766,3373,884,67,36,
32766,3355,877,71,39,
32766,3370,876,70,27,
32766,3367,862,54,54,
32766,3357,856,66,50,
32766,3377,862,65,54,
32766,3368,868,68,54,
32766,3374,875,62,41,
32766,3382,866,69,56,
32766,3377,870,71,66,
32766,3375,858,79,68,
32766,3373,874,55,46,
32766,3373,874,55,46,
127,13,3,0,0,
32766,3387,869,69,53,
32766,3381,868,61,29,
32766,3388,877,54,69,
32766,3402,867,73,42,
32766,3401,869,56,59,
32766,3391,874,74,45,
32766,3402,852,61,54,
32766,3389,876,62,43,
32766,3402,874,55,49,
32766,3382,864,53,55,
32766,3375,866,67,39,
32766,3373,873,79,51,
32766,3375,858,56,46,
32766,3375,858,56,46,
127,13,3,0,0,
32766,3358,860,60,57,
32766,3373,860,59,59,
32766,3352,843,44,40,
32766,3365,866,47,46,
32766,3367,866,54,41,
32766,3349,854,60,53,
32766,3378,859,53,55,
32766,3382,859,58,46,
32766,3388,868,30,44,
32766,3403,875,52,40,
32766,3374,869,72,60,
32766,3386,884,36,51,
32766,3379,864,38,53,
32766,3364,884,56,53,
32766,3356,878,49,57,
32766,3367,874,66,72,
32766,3360,871,65,35,
32766,3343,873,56,56,
32766,3342,876,49,47,
32766,3318,877,57,49,
32766,3318,877,57,49,
127,12,3,0,0,
32766,3322,876,68,44,
32766,3320,892,74,44,
32766,3317,870,53,45,
32766,3314,875,71,55,
32766,3294,882,70,45,
32766,3283,890,43,71,
32766,3295,870,65,53,
32766,3294,879,76,52,
32766,3279,879,56,47,
32766,3276,879,64,45,
32766,3286,867,81,46,
32766,3286,867,81,46,
127,12,3,0,0,
32766,3263,874,69,43,
32766,3281,876,52,58,
32766,3273,872,49,38,
32766,3271,860,74,53,
32766,3277,870,51,60,
32766,3264,867,56,62,
32766,3272,871,60,62,
32766,3271,866,62,46,
32766,3270,869,57,53,
32766,3268,869,67,64,
32766,3264,862,53,50,
32766,3270,849,53,71,
32766,3249,869,44,47,
32766,3257,872,73,46,
32766,3257,872,73,46,
127,12,3,0,0,
32766,3257,833,36,45,
32766,3256,863,50,41,
32766,3248,852,39,50,
32766,3253,864,50,51,
32766,3248,878,60,56,
32766,3247,883,70,46,
32766,3243,862,65,40,
32766,3245,864,61,53,
32766,3235,856,74,63,
32766,3244,846,53,48,
32766,3258,846,60,48,
32766,3236,864,66,67,
32766,3237,849,66,62,
32766,3240,862,64,55,
32766,3240,876,70,50,
32766,3240,853,71,47,
32766,3237,867,69,58,
32766,3256,867,47,66,
32766,3243,866,72,42,
32766,3241,871,49,44,
32766,3241,871,49,44,
127,12,3,0,0,
32766,3239,865,48,54,
32766,3253,864,64,48,
32766,3239,875,58,62,
32766,3237,865,66,50,
32766,3248,851,65,67,
32766,3248,851,65,67,
127,12,3,0,0,
32766,3247,846,51,59,
32766,3259,855,59,48,
32766,3248,858,60,49,
32766,3258,857,55,70,
32766,3260,871,63,25,
32766,3259,859,52,51,
32766,3252,864,40,59,
32766,3243,852,75,56,
32766,3241,864,63,53,
32766,3243,871,65,42,
32766,3256,872,55,66,
32766,3256,867,54,48,
32766,3260,859,48,54,
32766,3258,856,54,38,
32766,3270,862,57,53,
32766,3265,858,70,53,
32766,3263,851,72,47,
32766,3262,870,49,62,
32766,3262,870,49,62,
127,12,3,0,0,
32766,3252,852,54,54,
32766,3263,866,47,42,
32766,3255,873,55,52,
32766,3249,849,53,42,
32766,3247,857,75,57,
32766,3262,866,68,53,
32766,3268,852,60,62,
32766,3255,851,74,60,
32766,3256,855,79,49,
32766,3246,868,66,55,
32766,3255,849,62,50,
32766,3243,873,44,38,
32766,3248,858,66,69,
32766,3264,856,57,31,
32766,3244,855,74,41,
32766,3244,863,67,47,
32766,3242,863,65,57,
32766,3249,859,52,57,
32766,3262,868,59,60,
32766,3262,868,59,60,
127,12,3,0,0,
32766,3254,850,66,50,
32766,3257,857,66,35,
32766,3254,867,55,54,
32766,3249,857,62,45,
32766,3258,869,58,61,
32766,3239,867,52,52,
32766,3243,857,52,62,
32766,3252,860,47,50,
32766,3241,874,49,52,
32766,3252,863,66,56,
32766,3244,864,42,49,
32766,3244,864,42,49,
127,12,3,0,0,
32766,3251,860,48,52,
32766,3252,854,53,59,
32766,3254,857,60,52,
32766,3251,868,71,45,
32766,3250,859,68,44,
32766,3261,878,62,43,
32766,3260,859,51,46,
32766,3247,855,77,60,
32766,3242,856,62,37,
32766,3237,862,59,51,
32766,3237,862,59,51,
127,12,3,0,0,
32766,3256,864,68,35,
32766,3245,848,48,39,
32766,3254,865,55,57,
32766,3247,855,73,56,
32766,3252,850,47,45,
32766,3246,856,48,54,
32766,3237,859,48,40,
32766,3251,864,54,49,
32766,3226,852,60,44,
32766,3232,836,67,43,
32766,3246,850,68,43,
32766,3231,864,49,44,
32766,3237,856,57,59,
32766,3240,864,65,68,
32766,3234,851,61,50,
32766,3247,852,60,55,
32766,3242,852,67,51,
32766,3224,850,51,61,
32766,3240,860,67,59,
32766,3245,859,45,42,
32766,3224,862,44,45,
32766,3235,863,39,37,
32766,3229,848,53,47,
32766,3249,841,60,65,
32766,3249,841,60,65,
127,12,3,0,0,
32766,3242,856,60,44,
32766,3233,848,80,36,
32766,3227,847,66,38,
32766,3247,868,50,57,
32766,3246,862,51,54,
32766,3241,860,76,49,
32766,3242,844,56,41,
32766,3225,857,40,53,
32766,3249,853,50,48,
32766,3226,835,66,66,
32766,3246,853,63,55,
32766,3246,853,63,55,
127,12,3,0,0,
32766,3247,842,45,61,
32766,3230,862,55,47,
32766,3236,867,60,55,
32766,3254,855,55,41,
32766,3237,858,54,39,
32766,3239,869,65,46,
32766,3244,857,44,52,
32766,3244,857,44,52,
127,12,3,0,0,
32766,3249,850,56,48,
32766,3254,847,56,63,
32766,3238,856,52,64,
32766,3245,855,61,32,
32766,3241,855,43,60,
32766,3259,861,63,56,
32766,3234,848,60,61,
32766,3235,858,57,61,
32766,3241,868,37,58,
32766,3237,859,67,62,
32766,3224,847,69,54,
32766,3240,845,60,61,
32766,3249,854,53,45,
32766,3242,847,59,59,
32766,3242,847,59,59,
127,12,3,0,0,
32766,3242,855,52,51,
32766,3258,852,50,53,
32766,3237,855,71,50,
32766,3239,845,66,52,
32766,3244,847,59,44,
32766,3226,848,54,51,
32766,3239,853,52,68,
32766,3242,849,52,49,
32766,3250,849,59,57,
32766,3238,867,65,52,
32766,3255,839,49,45,
32766,3241,851,54,52,
32766,3234,849,49,46,
32766,3254,846,58,41,
32766,3254,846,58,41,
127,12,3,0,0,
32766,3257,854,35,62,
32766,3235,844,64,47,
32766,3258,847,53,53,
32766,3244,849,39,55,
32766,3251,859,57,57,
32766,3244,857,52,53,
32766,3247,858,58,41,
32766,3244,850,65,46,
32766,3242,859,71,64,
32766,3235,865,67,64,
32766,3241,851,62,52,
32766,3244,855,51,62,
32766,3230,849,43,51,
32766,3244,853,64,44,
32766,3244,853,64,44,
127,12,3,0,0,
32766,3234,863,54,45,
32766,3244,863,61,41,
32766,3244,853,64,60,
32766,3241,846,30,64,
32766,3255,857,55,47,
32766,3243,857,57,46,
32766,3250,847,56,67,
32766,3243,846,62,56,
32766,3245,868,43,41,
32766,3236,845,50,43,
32766,3242,849,57,52,
32766,3249,842,65,65,
32766,3250,849,60,47,
32766,3250,849,60,47,
127,12,3,0,0,
32766,3241,841,66,54,
32766,3247,838,60,60,
32766,3243,846,69,46,
32766,3245,871,71,48,
32766,3245,851,44,57,
32766,3259,846,74,54,
32766,3233,847,59,51,
32766,3233,837,46,38,
32766,3233,835,46,62,
32766,3247,847,55,59,
32766,3258,855,48,54,
32766,3249,856,61,54,
32766,3234,837,77,50,
32766,3224,849,66,22,
32766,3250,857,50,39,
32766,3228,864,65,43,
32766,3228,864,65,43,
127,12,3,0,0,
32766,3232,852,55,44,
32766,3245,846,69,52,
32766,3245,850,68,54,
32766,3244,846,54,30,
32766,3228,857,47,40,
32766,3229,839,51,45,
32766,3241,842,71,42,
32766,3221,862,44,62,
32766,3232,857,42,50,
32766,3226,857,40,49,
32766,3242,851,67,58,
32766,3243,857,62,52,
32766,3251,854,56,61,
32766,3239,852,46,52,
32766,3231,845,62,65,
32766,3231,845,62,65,
127,12,3,0,0,
32766,3254,856,51,41,
32766,3229,837,52,59,
32766,3247,852,69,34,
32766,3240,851,53,32,
32766,3243,823,78,23,
32766,3242,846,49,52,
32766,3223,837,65,54,
32766,3226,835,86,27,
32766,3238,863,47,47,
32766,3223,868,61,53,
32766,3227,857,53,66,
32766,3227,857,53,66,
127,12,3,0,0,
32766,3210,845,43,41,
32766,3217,842,43,39,
32766,3227,847,64,33,
32766,3216,856,58,72,
32766,3253,843,36,52,
32766,3251,861,44,42,
32766,3235,841,37,30,
32766,3244,838,44,57,
32766,3228,843,55,46,
32766,3237,846,46,41,
32766,3224,846,36,62,
32766,3242,844,49,52,
32766,3235,834,53,67,
32766,3235,847,60,60,
32766,3233,847,53,66,
32766,3220,861,75,42,
32766,3234,845,72,54,
32766,3232,855,52,61,
32766,3232,855,52,61,
127,12,3,0,0,
32766,3207,841,53,48,
32766,3236,849,37,51,
32766,3216,843,59,44,
32766,3216,843,54,65,
32766,3237,860,55,54,
32766,3231,849,37,62,
32766,3224,846,69,58,
32766,3232,854,50,54,
32766,3235,842,68,60,
32766,3242,844,64,52,
32766,3241,847,56,64,
32766,3247,854,46,52,
32766,3243,855,45,66,
32766,3243,855,45,66,
127,12,3,0,0,
32766,3239,856,63,41,
32766,3247,846,58,50,
32766,3263,842,68,41,
32766,3259,850,59,51,
32766,3246,852,65,66,
32766,3249,850,45,65,
32766,3253,860,64,47,
32766,3261,855,42,59,
32766,3266,851,56,58,
32766,3262,861,53,56,
32766,3266,848,78,43,
32766,3266,848,78,43,
127,12,3,0,0,
