PPG,HR,RR,HRV,SpO2
18421.925,0,0,0,0
18420.1584,0,0,0,0
18416.1456,0,0,0,0
18409.935,0,0,0,0
18401.6596,0,0,0,0
18391.5334,0,0,0,0
18379.8451,0,0,0,0
18366.9487,0,0,0,0
18353.2523,0,0,0,0
18339.2044,0,0,0,0
18325.2787,0,0,0,0
18311.9582,0,0,0,0
18299.7182,0,0,0,0
18289.0096,0,0,0,0
18280.2429,0,0,0,0
18273.7728,0,0,0,0
18269.8851,0,0,0,0
18154.6604,0,0,0,0
18156.3704,0,0,0,0
18162.8385,0,0,0,0
18173.9769,0,0,0,0
18189.5703,0,0,0,0
18209.2807,0,0,0,0
18232.6572,0,0,0,0
18259.148,0,0,0,0
18288.1163,0,0,0,0
18318.8578,0,0,0,0
18350.6212,0,0,0,0
18382.6291,0,0,0,0
18414.1004,0,0,0,0
18444.272,0,0,0,0
18472.4209,0,0,0,0
18497.8842,0,0,0,0
18520.0776,0,0,0,0
18538.5114,0,0,0,0
18552.8035,0,0,0,0
18562.6899,0,0,0,0
18568.0304,0,0,0,0
18568.8115,0,0,0,0
18565.1454,0,0,0,0
18557.265,0,0,0,0
18545.5155,0,0,0,0
18530.3429,0,0,0,0
18512.2792,0,0,0,0
18491.9257,0,0,0,0
18469.9338,0,0,0,0
18446.9854,0,0,0,0
18423.7715,0,0,0,0
18400.9718,0,0,0,0
18379.2345,0,0,0,0
18359.1569,0,0,0,0
18341.2687,0,0,0,0
18326.0173,0,0,0,0
18313.755,0,0,0,0
18304.7309,0,0,0,0
18299.0846,0,0,0,0
18296.8444,0,0,0,0
18297.9286,0,0,0,0
18302.1501,0,0,0,0
18309.2245,0,0,0,0
18318.7813,0,0,0,0
18330.3769,0,0,0,0
18343.5106,0,0,0,0
18357.6413,0,0,0,0
18372.2064,0,0,0,0
18386.6397,0,0,0,0
18400.3901,0,0,0,0
18412.9393,0,0,0,0
18423.8179,0,0,0,0
18432.6204,0,0,0,0
18439.0166,0,0,0,0
18442.762,0,0,0,0
18443.7041,0,0,0,0
18441.7858,0,0,0,0
18437.0462,0,0,0,0
18429.6176,0,0,0,0
18419.7199,0,0,0,0
18407.6517,0,0,0,0
18393.78,0,0,0,0
18378.5263,0,0,0,0
18362.3522,0,0,0,0
18345.7439,0,0,0,0
18329.1951,0,0,0,0
18313.1909,0,0,0,0
18298.1918,0,0,0,0
18284.6187,0,0,0,0
18272.8394,0,0,0,0
18263.1573,0,0,0,0
18255.8021,0,0,0,0
18250.9233,0,0,0,0
18303.303,0,0,0,0
18303.3308,0,0,0,0
18304.5422,0,0,0,0
18306.8717,0,0,0,0
18310.2256,0,0,0,0
18314.4852,0,0,0,0
18319.511,0,0,0,0
18325.1476,0,0,0,0
18331.2289,0,0,0,0
18337.5834,0,0,0,0
18344.0397,0,0,0,0
18350.4316,0,0,0,0
18356.6029,0,0,0,0
18362.412,0,0,0,0
18367.7358,0,0,0,0
18372.4724,0,0,0,0
18376.5436,0,0,0,0
18379.8961,0,0,0,0
18382.5023,0,0,0,0
18384.3596,0,0,0,0
18385.4894,0,0,0,0
18385.9349,0,0,0,0
18385.7587,0,0,0,0
18385.0392,0,0,0,0
18383.8675,0,0,0,0
18382.3427,0,0,0,0
18380.5685,0,0,0,0
18378.6486,0,0,0,0
18376.6833,0,0,0,0
18374.7653,0,0,0,0
18372.9769,0,0,0,0
18371.387,0,0,0,0
18370.0496,0,0,0,0
18369.0016,0,0,0,0
18368.2627,0,0,0,0
18367.8353,0,0,0,0
18367.705,0,0,0,0
18367.842,0,0,0,0
18368.2034,0,0,0,0
18368.7349,0,0,0,0
18369.3743,0,0,0,0
18370.0542,0,0,0,0
18370.7053,0,0,0,0
18371.2596,0,0,0,0
18371.6535,0,0,0,0
18371.8308,0,0,0,0
18371.745,0,0,0,0
18371.3619,0,0,0,0
18370.6606,0,0,0,0
18369.6347,0,0,0,0
18368.2931,0,0,0,0
18366.6592,0,0,0,0
18364.7705,0,0,0,0
18362.6771,0,0,0,0
18360.4397,0,0,0,0
18358.1276,0,0,0,0
18355.8156,0,0,0,0
18353.5813,0,0,0,0
18351.5022,0,0,0,0
18349.6524,0,0,0,0
18348.1,0,0,0,0
18346.9039,0,0,0,0
18346.1119,0,0,0,0
18351.4925,0,0,0,0
18351.783,0,0,0,0
18352.5018,0,0,0,0
18353.6672,0,0,0,0
18355.2809,0,0,0,0
18357.3281,0,0,0,0
18359.7777,0,0,0,0
18362.5836,0,0,0,0
18365.6858,0,0,0,0
18369.0127,0,0,0,0
18372.4832,0,0,0,0
18376.01,0,0,0,0
18379.5021,0,0,0,0
18382.8681,0,0,0,0
18386.0193,0,0,0,0
18388.8727,0,0,0,0
18391.3542,0,0,0,0
18393.4006,0,0,0,0
18394.9621,0,0,0,0
18396.0042,0,0,0,0
18396.5086,0,0,0,0
18396.4736,0,0,0,0
18395.9149,0,0,0,0
18394.8644,0,0,0,0
18393.3693,0,0,0,0
18391.4905,0,0,0,0
18389.3003,0,0,0,0
18386.8803,0,0,0,0
18384.318,0,0,0,0
18381.7042,0,0,0,0
18379.1294,0,0,0,0
18376.681,0,0,0,0
18374.4399,0,0,0,0
18372.478,0,0,0,0
18370.8552,0,0,0,0
18369.6175,0,0,0,0
18368.795,0,0,0,0
18368.4013,0,0,0,0
18368.4324,0,0,0,0
18368.8667,0,0,0,0
18369.6659,0,0,0,0
18370.7761,0,0,0,0
18372.1294,0,0,0,0
18373.6462,0,0,0,0
18375.2379,0,0,0,0
18376.8096,0,0,0,0
18378.2639,0,0,0,0
18379.5035,0,0,0,0
18380.4352,0,0,0,0
18380.9728,0,0,0,0
18381.0404,0,0,0,0
18380.575,0,0,0,0
18379.529,0,0,0,0
18377.8722,0,0,0,0
18375.593,0,0,0,0
18372.6995,0,0,0,0
18369.2195,0,0,0,0
18365.2,0,0,0,0
18360.7064,0,0,0,0
18355.821,0,0,0,0
18350.6405,0,0,0,0
18345.2738,0,0,0,0
18339.8387,0,0,0,0
18334.4589,0,0,0,0
18329.2605,0,0,0,0
18324.3683,0,0,0,0
18319.9024,0,0,0,0
18315.9748,0,0,0,0
18312.6863,0,0,0,0
18310.1234,0,0,0,0
18308.3562,0,0,0,0
18307.4363,0,0,0,0
18307.3952,0,0,0,0
18308.2438,0,0,0,0
18309.9717,0,0,0,0
18312.5479,0,0,0,0
18315.9218,0,0,0,0
18320.0242,0,0,0,0
18324.7694,0,0,0,0
18330.0579,0,0,0,0
18335.779,0,0,0,0
18341.8133,0,0,0,0
18348.0369,0,0,0,0
18354.3235,0,0,0,0
18360.5487,0,0,0,0
18366.5925,0,0,0,0
18372.3423,0,0,0,0
18377.6958,0,0,0,0
18382.5634,0,0,0,0
18386.8697,0,0,0,0
18390.5552,0,0,0,0
18393.5774,0,0,0,0
18395.911,0,0,0,0
18397.548,0,0,0,0
18398.4973,0,0,0,0
18398.7838,0,0,0,0
18398.4467,0,0,0,0
18397.5382,0,0,0,0
18396.1212,0,0,0,0
18394.2673,0,0,0,0
18392.0545,0,0,0,0
18389.5645,0,0,0,0
18386.8806,0,0,0,0
18384.0852,0,0,0,0
18381.2576,0,0,0,0
18378.4723,0,0,0,0
18375.7967,0,0,0,0
18373.2904,0,0,0,0
18371.0037,0,0,0,0
18368.9767,0,0,0,0
18367.2392,0,0,0,0
18365.8106,0,0,0,0
18364.6999,0,0,0,0
18363.9067,0,0,0,0
18363.4213,0,0,0,0
18363.2264,0,0,0,0
18363.2981,0,0,0,0
18363.6069,0,0,0,0
18364.1195,0,0,0,0
18364.7998,0,0,0,0
18365.6105,0,0,0,0
18366.5145,0,0,0,0
18367.4755,0,0,0,0
18368.4597,0,0,0,0
18369.4361,0,0,0,0
18370.3773,0,0,0,0
18371.26,0,0,0,0
18372.0652,0,0,0,0
18372.7782,0,0,0,0
18373.3884,0,0,0,0
18373.8893,0,0,0,0
18374.2775,0,0,0,0
18374.5529,0,0,0,0
18374.7175,0,0,0,0
18374.7752,0,0,0,0
18374.7309,0,0,0,0
18374.5901,0,0,0,0
18374.3581,0,0,0,0
18374.0401,0,0,0,0
18373.6403,0,0,0,0
18373.1619,0,0,0,0
18372.6071,0,0,0,0
18371.9769,0,0,0,0
18371.2714,0,0,0,0
18370.4901,0,0,0,0
18369.632,0,0,0,0
18368.6961,0,0,0,0
18367.682,0,0,0,0
18366.5902,0,0,0,0
18365.4224,0,0,0,0
18364.1822,0,0,0,0
18362.8753,0,0,0,0
18361.5098,0,0,0,0
18360.0961,0,0,0,0
18358.6474,0,0,0,0
18357.1792,0,0,0,0
18355.7093,0,0,0,0
18354.2573,0,0,0,0
18352.8444,0,0,0,0
18351.4925,0,0,0,0
18350.2238,0,0,0,0
18349.0599,0,0,0,0
18348.0213,0,0,0,0
18347.1265,0,0,0,0
18346.3914,0,0,0,0
18345.8284,0,0,0,0
18345.4464,0,0,0,0
18345.2497,0,0,0,0
18328.9209,0,0,0,0
18329.1835,0,0,0,0
18329.9152,0,0,0,0
18331.1203,0,0,0,0
18332.7916,0,0,0,0
18334.9106,0,0,0,0
18337.4479,0,0,0,0
18340.3635,0,0,0,0
18343.6077,0,0,0,0
18347.1229,0,0,0,0
18350.8446,0,0,0,0
18354.7034,0,0,0,0
18358.6265,0,0,0,0
18362.5399,0,0,0,0
18366.3705,0,0,0,0
18370.0475,0,0,0,0
18373.5051,0,0,0,0
18376.6833,0,0,0,0
18379.5302,0,0,0,0
18382.0029,0,0,0,0
18384.0685,0,0,0,0
18385.705,0,0,0,0
18386.9016,0,0,0,0
18387.6588,0,0,0,0
18387.9879,0,0,0,0
18387.9108,0,0,0,0
18387.4589,0,0,0,0
18386.6719,0,0,0,0
18385.5965,0,0,0,0
18384.2848,0,0,0,0
18382.7927,0,0,0,0
18381.1781,0,0,0,0
18379.4989,0,0,0,0
18377.8116,0,0,0,0
18376.1695,0,0,0,0
18374.6212,0,0,0,0
18373.2089,0,0,0,0
18371.9681,0,0,0,0
18370.9259,0,0,0,0
18370.101,0,0,0,0
18369.503,0,0,0,0
18369.1327,0,0,0,0
18368.9822,0,0,0,0
18369.0358,0,0,0,0
18369.2702,0,0,0,0
18369.6561,0,0,0,0
18370.1592,0,0,0,0
18370.7414,0,0,0,0
18371.3625,0,0,0,0
18371.9813,0,0,0,0
18372.5577,0,0,0,0
18373.0533,0,0,0,0
18373.4335,0,0,0,0
18373.668,0,0,0,0
18373.7323,0,0,0,0
18373.6082,0,0,0,0
18373.2844,0,0,0,0
18372.7569,0,0,0,0
18372.029,0,0,0,0
18371.1112,0,0,0,0
18370.0205,0,0,0,0
18368.7804,0,0,0,0
18367.4192,0,0,0,0
18365.9698,0,0,0,0
18364.4681,0,0,0,0
18362.952,0,0,0,0
18361.4601,0,0,0,0
18360.0305,0,0,0,0
18358.6995,0,0,0,0
18357.5003,0,0,0,0
18356.4624,0,0,0,0
18355.6102,0,0,0,0
18354.9628,0,0,0,0
18354.5329,0,0,0,0
18349.0553,0,0,0,0
18349.1406,0,0,0,0
18349.4044,0,0,0,0
18349.8423,0,0,0,0
18350.4471,0,0,0,0
18351.2096,0,0,0,0
18352.1188,0,0,0,0
18353.162,0,0,0,0
18354.3252,0,0,0,0
18355.5937,0,0,0,0
18356.9518,0,0,0,0
18358.3836,0,0,0,0
18359.8726,0,0,0,0
18361.4023,0,0,0,0
18362.9565,0,0,0,0
18364.5189,0,0,0,0
18366.0735,0,0,0,0
18367.6047,0,0,0,0
18369.0973,0,0,0,0
18370.5367,0,0,0,0
18371.9089,0,0,0,0
18373.2006,0,0,0,0
18374.3993,0,0,0,0
18375.4936,0,0,0,0
18376.4729,0,0,0,0
18377.3282,0,0,0,0
18378.0517,0,0,0,0
18378.6374,0,0,0,0
18379.0808,0,0,0,0
18379.3797,0,0,0,0
18379.5337,0,0,0,0
18379.5446,0,0,0,0
18379.4166,0,0,0,0
18379.1562,0,0,0,0
18378.7722,0,0,0,0
18378.2756,0,0,0,0
18377.6794,0,0,0,0
18376.9987,0,0,0,0
18376.2499,0,0,0,0
18375.4509,0,0,0,0
18374.6204,0,0,0,0
18373.7774,0,0,0,0
18372.9411,0,0,0,0
18372.1298,0,0,0,0
18371.361,0,0,0,0
18370.6504,0,0,0,0
18370.0117,0,0,0,0
18369.4559,0,0,0,0
18368.9912,0,0,0,0
18368.6224,0,0,0,0
18368.351,0,0,0,0
18368.1747,0,0,0,0
18368.0875,0,0,0,0
18368.08,0,0,0,0
18368.1393,0,0,0,0
18368.2495,0,0,0,0
18368.3922,0,0,0,0
18368.5468,0,0,0,0
18368.6915,0,0,0,0
18368.8035,0,0,0,0
18368.8602,0,0,0,0
18368.8396,0,0,0,0
18368.7215,0,0,0,0
18368.4876,0,0,0,0
18368.123,0,0,0,0
18367.616,0,0,0,0
18366.9594,0,0,0,0
18366.1502,0,0,0,0
18365.1903,0,0,0,0
18364.0868,0,0,0,0
18362.8514,0,0,0,0
18361.5005,0,0,0,0
18360.0552,0,0,0,0
18358.5402,0,0,0,0
18356.9835,0,0,0,0
18355.4158,0,0,0,0
18353.8693,0,0,0,0
18352.3769,0,0,0,0
18350.9715,0,0,0,0
18349.6847,0,0,0,0
18348.5458,0,0,0,0
18347.5813,0,0,0,0
18346.8135,0,0,0,0
18346.2604,0,0,0,0
18345.9344,0,0,0,0
18339.7883,0,0,0,0
18339.9174,0,0,0,0
18340.2132,0,0,0,0
18340.6853,0,0,0,0
18341.3407,0,0,0,0
18342.1835,0,0,0,0
18343.2148,0,0,0,0
18344.4321,0,0,0,0
18345.8293,0,0,0,0
18347.3967,0,0,0,0
18349.1209,0,0,0,0
18350.9853,0,0,0,0
18352.9702,0,0,0,0
18355.0531,0,0,0,0
18357.2096,0,0,0,0
18359.4132,0,0,0,0
18361.637,0,0,0,0
18363.8534,0,0,0,0
18366.0352,0,0,0,0
18368.1561,0,0,0,0
18370.1918,0,0,0,0
18372.1197,0,0,0,0
18373.9203,0,0,0,0
18375.577,0,0,0,0
18377.0766,0,0,0,0
18378.4097,0,0,0,0
18379.5705,0,0,0,0
18380.5569,0,0,0,0
18381.3704,0,0,0,0
18382.0156,0,0,0,0
18382.5002,0,0,0,0
18382.8342,0,0,0,0
18383.0297,0,0,0,0
18383.1001,0,0,0,0
18383.0599,0,0,0,0
18382.9234,0,0,0,0
18382.705,0,0,0,0
18382.418,0,0,0,0
18382.0747,0,0,0,0
18381.6855,0,0,0,0
18381.259,0,0,0,0
18380.8016,0,0,0,0
18380.3175,0,0,0,0
18379.8089,0,0,0,0
18379.2757,0,0,0,0
18378.7163,0,0,0,0
18378.1275,0,0,0,0
18377.5052,0,0,0,0
18376.8446,0,0,0,0
18376.1408,0,0,0,0
18375.3895,0,0,0,0
18374.5874,0,0,0,0
18373.7323,0,0,0,0
18372.8241,0,0,0,0
18371.8649,0,0,0,0
18370.8589,0,0,0,0
18369.8132,0,0,0,0
18368.7372,0,0,0,0
18367.6428,0,0,0,0
18366.5444,0,0,0,0
18365.4577,0,0,0,0
18364.4004,0,0,0,0
18363.3907,0,0,0,0
18362.4471,0,0,0,0
18361.5877,0,0,0,0
18360.8292,0,0,0,0
18360.1867,0,0,0,0
18359.6724,0,0,0,0
18359.2954,0,0,0,0
18359.0611,0,0,0,0
18358.9705,0,0,0,0
18359.02,0,0,0,0
18359.2012,0,0,0,0
18359.5013,0,0,0,0
18359.9024,0,0,0,0
18360.3826,0,0,0,0
18360.9164,0,0,0,0
18361.4748,0,0,0,0
18362.0267,0,0,0,0
18362.5396,0,0,0,0
18362.9806,0,0,0,0
18363.3176,0,0,0,0
18363.5202,0,0,0,0
18363.5608,0,0,0,0
18363.4161,0,0,0,0
18363.0674,0,0,0,0
18362.5021,0,0,0,0
18361.7139,0,0,0,0
18360.7035,0,0,0,0
18359.4792,0,0,0,0
18358.0566,0,0,0,0
18356.4586,0,0,0,0
18354.7152,0,0,0,0
18352.8626,0,0,0,0
18350.9429,0,0,0,0
18349.0024,0,0,0,0
18347.091,0,0,0,0
18345.2606,0,0,0,0
18343.5637,0,0,0,0
18342.052,0,0,0,0
18340.7748,0,0,0,0
18339.7773,0,0,0,0
18339.0998,0,0,0,0
18338.7757,0,0,0,0
18338.8309,0,0,0,0
18339.2826,0,0,0,0
18340.1386,0,0,0,0
18341.3971,0,0,0,0
18343.0461,0,0,0,0
18345.0639,0,0,0,0
18347.4195,0,0,0,0
18350.0728,0,0,0,0
18352.9764,0,0,0,0
18356.0757,0,0,0,0
18359.3112,0,0,0,0
18362.6195,0,0,0,0
18365.9353,0,0,0,0
18369.1929,0,0,0,0
18372.3279,0,0,0,0
18375.2792,0,0,0,0
18377.9904,0,0,0,0
18380.4115,0,0,0,0
18382.4999,0,0,0,0
18384.2219,0,0,0,0
18385.5533,0,0,0,0
18386.48,0,0,0,0
18386.9984,0,0,0,0
18387.1152,0,0,0,0
18386.8473,0,0,0,0
18386.2208,0,0,0,0
18385.2707,0,0,0,0
18384.0391,0,0,0,0
18382.5744,0,0,0,0
18380.9294,0,0,0,0
18379.1599,0,0,0,0
18377.3229,0,0,0,0
18375.4749,0,0,0,0
18373.6702,0,0,0,0
18371.9595,0,0,0,0
18370.388,0,0,0,0
18368.9947,0,0,0,0
18367.8108,0,0,0,0
18366.8595,0,0,0,0
18366.1547,0,0,0,0
18365.7015,0,0,0,0
18365.4961,0,0,0,0
18365.5257,0,0,0,0
18365.7696,0,0,0,0
18366.1998,0,0,0,0
18366.7824,0,0,0,0
18367.4785,0,0,0,0
18368.2459,0,0,0,0
18369.0404,0,0,0,0
18369.8175,0,0,0,0
18370.5338,0,0,0,0
18371.1488,0,0,0,0
18371.6259,0,0,0,0
